name	image	short_description	population_size	maximum_life_span_in_years	top_speed_in_kmh	weight	length	wingspan	continents	diet	seasonal_behavior	independent_age	population_trend	population_status	incubation_period
Common Tern	https://martinfrancois.github.io/bird-images/common-tern-sterna-hirundo-quiberon-brittany-france.jpg	The common tern (Sterna hirundo ) is a seabird in the family Laridae. This bird has a circumpolar distribution, its four subspecies breeding in temperate and subarctic regions of Europe, Asia and North America. It is strongly migratory, wintering in coastal tropical and subtropical regions. Breeding adults have light grey upperparts, white to very light grey underparts, a black cap, orange-red legs, and a narrow pointed bill. Depending on the subspecies, the bill may be mostly red with a black tip or all black. There are a number of similar species, including the partly sympatric Arctic tern, which can be separated on plumage details, leg and bill colour, or vocalisations.	1,6-3,6 Mln	29	54	110-141 g	31-35 cm	77-98 cm	Asia, Europe, Africa, North America, South America, Oceania, Antarctica	Carnivore,  Piscivores	Migrating	22-28 days	-	Least concern (LC)	21-25 days
Common whitethroat	https://martinfrancois.github.io/bird-images/female-whitethroat.jpg	The common whitethroat or greater whitethroat (Curruca communis ) is a common and widespread typical warbler which breeds throughout Europe and across much of temperate western Asia. This small passerine bird is strongly migratory, and winters in tropical Africa, Arabia, and Pakistan.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Common Wood Pigeon	https://martinfrancois.github.io/bird-images/pigeon-ramier.jpg	The Common wood pigeon (Columba palumbus) is a member of the dove and pigeon family (Columbidae), native to the western Palearctic. It has historically been known as the Ring dove, and is locally known in southeast England as the ""culver""; the latter name has given rise to several areas known for keeping pigeons to be named after it, such as Culver Down.	51-73 mln	17	0	300-615 g	38-44.5 cm	68-80 cm	Europe, Asia, Africa	Herbivore,  Folivore,  Granivore,  Frugivore	Partial Migrant	-	Increasing	Least concern (LC)	17-19 days
Corn bunting	https://martinfrancois.github.io/bird-images/corn-bunting-emberiza-calandra-05.jpg	The corn bunting (Emberiza calandra ) is a passerine bird in the bunting family Emberizidae, a group now separated by most modern authors from the finches, Fringillidae. This is a large bunting with heavily streaked buff-brown plumage. The sexes are similar but the male is slightly larger than the female. Its range extends from Western Europe and North Africa across to northwestern China.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Corn crake	https://martinfrancois.github.io/bird-images/2560px-crex-crex2c-beachy-head-6.jpg	The corn crake, corncrake or landrail (Crex crex ) is a bird in the rail family. It breeds in Europe and Asia as far east as western China, and migrates to Africa for the Northern Hemisphere's winter. It is a medium-sized crake with buff- or grey-streaked brownish-black upperparts, chestnut markings on the wings, and blue-grey underparts with rust-coloured and white bars on the flanks and undertail. The strong bill is flesh-toned, the iris is pale brown, and the legs and feet are pale grey. Juveniles are similar in plumage to adults, and downy chicks are black, as with all rails. There are no subspecies, although individuals from the east of the breeding range tend to be slightly paler than their western counterparts. The male's call is a loud krek krek, from which the scientific name is derived. The corn crake is larger than its closest relative, the African crake, which shares its wintering range; that species is also darker-plumaged, and has a plainer face.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Crested lark	https://martinfrancois.github.io/bird-images/crested-lark-28galerida-cristata-brachyura29.jpg	The crested lark (Galerida cristata ) is a species of lark widespread across Eurasia and northern Africa. It is a non-migratory bird, but can occasionally be found as a vagrant in Great Britain.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Curlew sandpiper	https://martinfrancois.github.io/bird-images/curlew-sandpiper-28calidris-ferruginea29-juvenile.jpg	The curlew sandpiper (Calidris ferruginea ) is a small wader that breeds on the tundra of Arctic Siberia.	Unknown	0	0	-	-	-	Europe, North America, Asia, Africa	-	Migrating	-	Decreasing	Near Threatened (NT)	-
Dunlin	https://martinfrancois.github.io/bird-images/calidris-alpina-dunlin2c-adana-2016-12-17-01-4.jpg	The dunlin (Calidris alpina ) is a small wader, formerly sometimes separated with the other ""stints"" in the genus Erolia. The English name is a dialect form of ""dunling"", first recorded in 1531�1532. It derives from dun, ""dull brown"", with the suffix -ling, meaning a person or thing with the given quality.	Unknown	0	0	45 -65 g	16 -22 cm	32-44 cm	North America, Europe, Asia, Africa	Carnivore,  Insectivores,  Molluscivore,  Vermivorous	Migrating	-	Decreasing	Least concern (LC)	-
Dunnock	https://martinfrancois.github.io/bird-images/48050243363-067e75cda9-ojpg.jpg	The dunnock (Prunella modularis ) is a small passerine, or perching bird, found throughout temperate Europe and into Asian Russia. Dunnocks have also been successfully introduced into New Zealand. It is by far the most widespread member of the accentor family; most other accentors are limited to mountain habitats. Other common names of the dunnock include: hedge accentor, hedge sparrow or hedge warbler.	25-44 mln	2	0	21 g	13-14 cm	20 cm	Europe, Asia, Africa	Carnivore,  Insectivores,  Herbivore,  Granivore	Partial Migrant	-	Decreasing	Least concern (LC)	12-13 days
Eurasian bittern	https://martinfrancois.github.io/bird-images/1280px-botaurus-stellaris.jpg	The Eurasian bittern or great bittern (Botaurus stellaris ) is a wading bird in the bittern subfamily (Botaurinae) of the heron family Ardeidae. There are two subspecies, the northern race (B. s. stellaris ) breeding in parts of Europe and across the Palearctic, as well as on the northern coast of Africa, while the southern race (B. s. capensis ) is endemic to parts of southern Africa. It is a secretive bird, seldom seen in the open as it prefers to skulk in reed beds and thick vegetation near water bodies. Its presence is apparent in the spring, when the booming call of the male during the breeding season can be heard. It feeds on fish, small mammals, fledgling birds, amphibians, crustaceans and insects.	Unknown	0	0	874-243 g	64-80 cm	125-135 cm	Europe, Asia, Africa	Carnivore,  Insectivores,  Piscivores	Partial Migrant	-	Decreasing	Least concern (LC)	-
Eurasian Blackcap	https://martinfrancois.github.io/bird-images/capinera.jpg	The Eurasian blackcap (Sylvia atricapilla) is a common and widespread warbler that breeds in much of Europe, western Asia, and northwestern Africa. Its rich and varied song has led to the blackcap being described as the ""mock nightingale"" and it has been featured in literature, films, and music.	101-161 mln	13	75	16-25 g	13-14 cm	-	Europe, Asia, Africa	Carnivore,  Insectivores,  Herbivore,  Frugivore	Partial Migrant	25-33 days	Increasing	Least concern (LC)	10-16 days
Eurasian Blue Tit	https://martinfrancois.github.io/bird-images/iW8NHqiZGfW0n7doXAVz.jpg	The Eurasian blue tit (Cyanistes caeruleus) is a small passerine bird easily recognizable by its blue and yellow plumage. The bird is famed for its acrobatic skills, as it can cling to the outermost branches and hang upside down when looking for food.	Unknown	11	0	11 g	12 cm	18 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Not a migrant	3 weeks	Increasing	Least concern (LC)	12-16 days
Eurasian Bullfinch	https://martinfrancois.github.io/bird-images/26-gramm-etwa-wiegt-ein-dompfaff-mnnchen-20jpg.jpg	The Eurasian bullfinch, common bullfinch or bullfinch (Pyrrhula pyrrhula ) is a small passerine bird in the finch family, Fringillidae. In Anglophone Europe it is known simply as the bullfinch, as it is the original bird to bear the name bullfinch.	35-70 mln	5	0	23 g	15-17 cm	25 cm	Europe, Asia	Herbivore,  Granivore	Partial Migrant	-	Decreasing	Least concern (LC)	12-14 days
Eurasian Collared Dove	https://martinfrancois.github.io/bird-images/1620px-eurasian-collared-dove-streptopelia-decaocto-adler-sochijpg.jpg	The Eurasian collared dove (Streptopelia decaocto ) is a dove species native to Europe and Asia; it was introduced to Japan, North America and islands in the Caribbean. Because of its vast global range and increasing population trend, it has been listed as Least Concern on the IUCN Red List since 2014.	60-110 Mln	17	60	125-240 g	29-30 cm	47-55 cm	Asia, Europe, Africa, North America	Granivore,  Frugivore,  Herbivore	Not a migrant	22-26 days	Increasing	Least concern (LC)	2 weeks
Eurasian Coot	https://martinfrancois.github.io/bird-images/1620px-eurasian-coot-taking-a-rest-49931469287jpg.jpg	N/A	7.9-9.75 mln	15	0	750-890 g	36-38 cm	70-80 cm	Europe, Asia, Africa, Oceania	Omnivore	Partial Migrant	55-60 days	Increasing	Least concern (LC)	-
Eurasian Crag Martin	https://martinfrancois.github.io/bird-images/1200px-eurasian-crag-martin-ptyonoprogne-rupestris-29834451762jpg.jpg	The Eurasian crag martin or just crag martin (Ptyonoprogne rupestris ) is a small passerine bird in the swallow family. It is about 14�cm (5.5�in) long with ash-brown upperparts and paler underparts, and a short, square tail that has distinctive white patches on most of its feathers. It breeds in the mountains of southern Europe, northwestern Africa and across the Palearctic. It can be confused with the three other species in its genus, but is larger with brighter tail spots and different plumage tone. Many European birds are resident, but some northern populations and most Asian breeders are migratory, wintering in northern Africa, the Middle East or India.	1.2-2.2 mln	0	0	23 g	13-15 cm	32-34.5 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Partial Migrant	38-48 days	Stable	Least concern (LC)	13-17 days
Eurasian curlew	https://martinfrancois.github.io/bird-images/eurasian-curlew-28numenius-arquata29-48728355653.jpg	The Eurasian curlew or common curlew (Numenius arquata ) is a wader in the large family Scolopacidae. It is one of the most widespread of the curlews, breeding across temperate Europe and Asia. In Europe, this species is often referred to just as the ""curlew"", and in Scotland known as the ""whaup"" in Scots.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Near Threatened (NT)	-
Eurasian dotterel	https://martinfrancois.github.io/bird-images/2560px-male-dotterel-with-chick.jpg	The Eurasian dotterel (Charadrius morinellus ), also known in Europe as just dotterel, is a small wader in the plover family of birds.	Unknown	0	0	-	-	-	Europe, North America, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Eurasian Eagle-Owl	https://martinfrancois.github.io/bird-images/eurasian-eagle-owl-7.jpg	The Eurasian eagle-owl (Bubo bubo) is also called the Uhu and it is occasionally abbreviated to just the eagle-owl in Europe. These birds are found in many habitats where they hunt a majority of their prey. Eurasian eagle-owls are one of the most widely distributed. With a total range in Europe and Asia of about 32 million km2 (12 million sq mi) and a total population estimated in millions. Sometimes tame eagle-owls have been used in pest control because of their size to deter large birds such as gulls from nesting.	100-500 thou	60	64	1.2-4.6 kg	56-75 cm	131-188 cm	Europe, Asia	Carnivore,  Insectivores	Not a migrant	9 to 12 mont	Decreasing	Least concern (LC)	31-36 days
Eurasian hobby	https://martinfrancois.github.io/bird-images/eurasian-hobby-28falco-subbuteo29-282006596446529.jpg	The Eurasian hobby (Falco subbuteo ) or just hobby, is a small, slim falcon. It belongs to a rather close-knit group of similar falcons often considered a subgenus Hypotriorchis.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Eurasian Hoopoe	https://martinfrancois.github.io/bird-images/1620px-pikiwiki-israel-43223-wildlife-and-plants-of-israeljpg.jpg	The Eurasian hoopoe (Upupa epops ) is the most widespread species of the genus Upupa. It is a distinctive cinnamon coloured bird with black and white wings, a tall erectile crest, a broad white band across a black tail, and a long narrow downcurved bill. Its call is a soft ""oop-oop-oop"". It is native to Europe, Asia and the northern half of Africa. It is migratory in the northern part of its range. It spends most of the time on the ground probing for grubs and insects. The clutch of seven to eight eggs is laid in an existing cavity. The eggs are incubated by the female and hatch asynchronously. Some ornithologists treat the African and Madagascar hoopoes as subspecies of the Eurasian hoopoe.	2.6-5.5 mln	10	0	46-89 g	25-32 cm	44-48 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Partial Migrant	4-5 weeks	Decreasing	Least concern (LC)	-
Eurasian Jay	https://martinfrancois.github.io/bird-images/11590293196-44531cb5a8-ojpg.jpg	The Eurasian jay (Garrulus glandarius ) is a species of passerine bird in the crow family Corvidae. It has pinkish brown plumage with a black stripe on each side of a whitish throat, a bright blue panel on the upper wing and a black tail. The Eurasian jay is a woodland bird that occurs over a vast region from western Europe and north-west Africa to the Indian subcontinent and further to the eastern seaboard of Asia and down into south-east Asia. Across this vast range, several distinct racial forms have evolved which look different from each other, especially when comparing forms at the extremes of its range.	33-65.1 mln	17	0	150-190 g	32-36 cm	55 cm	Europe, Asia, Africa	Omnivore	Not a migrant	10-11 weeks	Stable	Least concern (LC)	16-19 days
Eurasian Magpie	https://martinfrancois.github.io/bird-images/pica-pica-3.jpg	The Eurasian magpie (Pica pica) is one of several birds in the crow family (corvids) designated magpies, and belongs to the Holarctic radiation of ""monochrome"" magpies. In Europe, ""magpie"" is used by English speakers as a synonym for the Eurasian magpie: the only other magpie in Europe is the Iberian magpie. The Eurasian magpie is one of the most intelligent birds, and it is believed to be one of the most intelligent of all non-human animals.	46-228 mln	21.8	0	182-272 g	44-46 cm	52-62 cm	Europe, Asia	Omnivore	Not a migrant	-	Stable	Least concern (LC)	21-22 days
Eurasian nuthatch	https://martinfrancois.github.io/bird-images/1620px-kleiber-schwedenjpg.jpg	The Eurasian nuthatch (Sitta europaea ) is a small passerine bird found throughout the Palearctic and in Europe. Nuthatches forage for insects hidden in or under bark by climbing along tree trunks and branches, sometimes upside-down, and advertise their territory using loud, simple songs.	10-500 mln	12	0	17-28 g	14 cm	22.5-27 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Not a migrant	28-40 days	Stable	Least concern (LC)	-
Eurasian oystercatcher	https://martinfrancois.github.io/bird-images/2560px-austernfischer-28haematopus-ostralegus29.jpg	The Eurasian oystercatcher (Haematopus ostralegus ) also known as the common pied oystercatcher, or palaearctic oystercatcher, or (in Europe) just oystercatcher, is a wader in the oystercatcher bird family Haematopodidae. It is the most widespread of the oystercatchers, with three races breeding in western Europe, central Eurosiberia, Kamchatka, China, and the western coast of Korea. No other oystercatcher occurs within this area. The extinct Canary Islands oystercatcher (Haematopus meadewaldoi ), formerly considered a distinct species, may have actually been an isolated subspecies or distinct population of the Eurasian oystercatcher.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Near Threatened (NT)	-
Eurasian penduline tit	https://martinfrancois.github.io/bird-images/remiz-pendulinus-in-ukraine-2018.jpg	The Eurasian penduline tit or European penduline tit (Remiz pendulinus ) is a passerine bird of the genus Remiz. It is relatively widespread throughout the western Palearctic. It is migratory in the northern part of its range but resident in the southern part.	Unknown	0	0	-	-	-	Europe, Asia	-	Migrating	-	Increasing	Least concern (LC)	-
Eurasian pygmy owl	https://martinfrancois.github.io/bird-images/2560px-glaucidium-passerinum-russia.jpg	The Eurasian pygmy owl (Glaucidium passerinum ) is the smallest owl in Europe. It is a dark reddish to greyish-brown, with spotted sides and half of a white ring around the back of the neck. This species is found in the boreal forests of Northern and Central Europe to Siberia.	Unknown	0	0	47-83 g	15-19 cm	32-39 cm	Europe, Asia	Carnivore	Not a migrant	-	Stable	Least concern (LC)	-
Eurasian reed warbler	https://martinfrancois.github.io/bird-images/20160713-02-westensee-felde-teichrohrsaenger.jpg	The Eurasian reed warbler, or just reed warbler (Acrocephalus scirpaceus ), is an Old World warbler in the genus Acrocephalus. It breeds across Europe into the temperate western Palaearctic. It is migratory, wintering in sub-Saharan Africa.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Eurasian scops owl	https://martinfrancois.github.io/bird-images/otus-scops-2-28bohuc5a1-c48cc3adc48del29.jpg	The Eurasian scops owl (Otus scops ), also known as the European scops owl or just scops owl, is a small owl in the typical owl family Strigidae. Its breeding range extends from southern Europe eastwards to southern Siberia and the western Himalayas. It is migratory, wintering in Africa south of the Sahara.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Eurasian siskin	https://martinfrancois.github.io/bird-images/eurasian-siskin-28spinus-spinus29-285110782124929.jpg	The Eurasian siskin (Spinus spinus ) is a small passerine bird in the finch family Fringillidae. It is also called the European siskin, common siskin or just siskin. Other (archaic) names include black-headed goldfinch, barley bird and aberdevine. It is very common throughout Europe and Eurosiberia. It is found in forested areas, both coniferous and mixed woodland where it feeds on seeds of all kinds, especially of alder and conifers.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Eurasian Skylark	https://martinfrancois.github.io/bird-images/1200px-sanglerke-alauda-arvensisjpg.jpg	The Eurasian skylark (Alauda arvensis ) is a passerine bird in the lark family, Alaudidae. It is a widespread species found across Europe and the Palearctic with introduced populations in New Zealand, Australia and on the Hawaiian Islands. It is a bird of open farmland and heath, known for the song of the male, which is delivered in hovering flight from heights of 50 to 100 metres (160 to 330�ft). The sexes are alike. It is streaked greyish-brown above and on the breast and has a buff-white belly.	290-530 mln	10	0	17-55 g	18-19 cm	30-36 cm	Europe, Asia, Africa, North America	Omnivore	Partial Migrant	25 days	Decreasing	Least concern (LC)	11 days
Eurasian Sparrowhawk	https://martinfrancois.github.io/bird-images/male-sparrowhawk-accipiter-nisus-1.jpg	The Eurasian sparrowhawk (Accipiter nisus) is a small bird of prey in the family Accipitridae. Though it is a predator which specializes in catching woodland birds, the Eurasian sparrowhawk can be found in any habitat and often hunts garden birds in towns and cities.	2-3.2 mln	20	0	110-342 g	29-41 cm	59-80 cm	Europe, Asia, Africa	Carnivore	Partial Migrant	20 to 30 day	Stable	Least concern (LC)	-
Eurasian spoonbill	https://martinfrancois.github.io/bird-images/2560px-20170821-038-lelystad-oostvaardersplassen-lepelaar-283669281868629.jpg	The Eurasian spoonbill (Platalea leucorodia ), or common spoonbill, is a wading bird of the ibis and spoonbill family Threskiornithidae. The genus name Platalea is from Latin and means ""broad"", referring to the distinctive shape of the bill, and leucorodia is from Ancient Greek leukerodios ""spoonbill"", itself derived from leukos, ""white"" and erodios ""heron"". In England it was traditionally known as the ""shovelard"", a name later used for the Northern Shoveller.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Unknown	Least concern (LC)	-
Eurasian Teal	https://martinfrancois.github.io/bird-images/jFHM3Aflaz3hzqMCc2rq.jpg	The Eurasian teal (Anas crecca ), common teal, or Eurasian green-winged teal is a common and widespread duck which breeds in temperate Eurosiberia and migrates south in winter. The Eurasian teal is often called simply the teal due to being the only one of these small dabbling ducks in much of its range. The bird gives its name to the blue-green colour teal.	6.6-7.7 mln	27	70	340-360 g	34-43 cm	53-59 cm	Europe, Asia, Africa, North America	Herbivore,  Granivore,  Carnivore,  Insectivores	Migrating	25-30 days	-	Least concern (LC)	21-23 days
Eurasian three-toed woodpecker	https://martinfrancois.github.io/bird-images/dreizehenspecht-seitansicht2.jpg	The Eurasian three-toed woodpecker (Picoides tridactylus ) is a medium-sized woodpecker that is found from northern Europe across northern Asia to Japan.	Unknown	0	0	54-75 g	-	114-132 mm	Europe, North America, Asia	Carnivore,  Insectivores	Not a migrant	-	Stable	Least concern (LC)	-
Eurasian Tree Sparrow	https://martinfrancois.github.io/bird-images/feldsperling-jpg.jpg	The Eurasian tree sparrow (Passer montanus ) is a passerine bird in the sparrow family with a rich chestnut crown and nape, and a black patch on each pure white cheek. The sexes are similarly plumaged, and young birds are a duller version of the adult. This sparrow breeds over most of temperate Eurasia and Southeast Asia, where it is known as the tree sparrow, and it has been introduced elsewhere including the United States, where it is known as the Eurasian tree sparrow or German sparrow to differentiate it from the native unrelated American tree sparrow. Although several subspecies are recognised, the appearance of this bird varies little across its extensive range.	190-310 mln	13	0	24 g	12.5-14 cm	21 cm	Europe, Asia, Africa	Herbivore,  Granivore,  Carnivore,  Insectivores	Partial Migrant, Not a migrant	-	Decreasing	Least concern (LC)	12-13 days
Eurasian treecreeper	https://martinfrancois.github.io/bird-images/tree-creeper-barbondale-285124243639329.jpg	The Eurasian treecreeper or common treecreeper (Certhia familiaris ) is a small passerine bird also known in the British Isles, where it is the only living member of its genus, simply as treecreeper. It is similar to other treecreepers, and has a curved bill, patterned brown upperparts, whitish underparts, and long stiff tail feathers which help it creep up tree trunks. It can be most easily distinguished from the similar short-toed treecreeper, which shares much of its European range, by its different song.	Unknown	0	0	7.6-12.9 g	12-15 cm	19 cm	Europe, Asia	Carnivore,  Insectivores	Not a migrant	-	Stable	Least concern (LC)	-
Eurasian whimbrel	https://martinfrancois.github.io/bird-images/numenius-phaeopus-faroe-islands.jpg	The Eurasian whimbrel (Numenius phaeopus ) is a wader in the large family Scolopacidae. It is one of the most widespread of the curlews, breeding across much of subarctic Asia and Europe as far south as Scotland. This species and the Hudsonian whimbrel have recently been split, although some taxonomic authorities still consider them to be conspecific.	Unknown	0	0	-	-	-	Antarctica, Europe, North America, Asia, South America, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Eurasian wigeon	https://martinfrancois.github.io/bird-images/eurasian-wigeon-28anas-penelope29-282974105133429.jpg	The Eurasian wigeon or European wigeon, also known as the widgeon or the wigeon (Mareca penelope ) is one of three species of wigeon in the dabbling duck genus Mareca. It is common and widespread within its Palearctic range.	Unknown	0	0	-	-	-	Europe, North America, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Eurasian woodcock	https://martinfrancois.github.io/bird-images/2560px-eurasian-woodcock.jpg	The Eurasian woodcock (Scolopax rusticola ) is a medium-small wading bird found in temperate and subarctic Eurasia. It has cryptic camouflage to suit its woodland habitat, with reddish-brown upperparts and buff-coloured underparts. Its eyes are set far back on its head to give it 360-degree vision and it probes in the ground for food with its long, sensitive bill, making it vulnerable to cold weather when the ground remains frozen.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Partial Migrant	-	Stable	Least concern (LC)	-
Eurasian Wren	https://martinfrancois.github.io/bird-images/1200px-eurasian-wren-troglodytes-troglodytes-neglectus-gilgit-30828545977jpg.jpg	The Eurasian wren (Troglodytes troglodytes ) or northern wren is a very small insectivorous bird, and the only member of the wren family Troglodytidae found in Eurasia and Africa (Maghreb). In Anglophone Europe, it is commonly known simply as the wren. It has a very short tail which is often held erect, a short neck and a relative long thin bill. It is russet brown above, paler buff-brown below and has a cream buff supercilium. The sexes are alike.	10-500 mln	6	0	10 g	9-10 cm	13-17 cm	Europe, Asia, Africa, North America	Carnivore,  Insectivores	Partial Migrant	-	Increasing	Least concern (LC)	14-15 days
Eurasian wryneck	https://martinfrancois.github.io/bird-images/eurasian-wryneck-28jynx-torquilla29-284404736043529.jpg	The Eurasian wryneck or northern wryneck (Jynx torquilla ) is a species of wryneck in the woodpecker family. This species mainly breeds in temperate regions of Europe and Asia. Most populations are migratory, wintering in tropical Africa and in southern Asia from Iran to the Indian subcontinent, but some are resident in northwestern Africa. It is a bird of open countryside, woodland and orchards.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
European bee-eater	https://martinfrancois.github.io/bird-images/2560px-bienenfresser-hochzeit-im-ffh-gebiet-kaiserstuhl.jpg	The European bee-eater (Merops apiaster ) is a near passerine bird in the bee-eater family, Meropidae. It breeds in southern Europe and in parts of north Africa and western Asia. It is strongly migratory, wintering in tropical Africa. This species occurs as a spring overshoot north of its range, with occasional breeding in northwest Europe.	Unknown	0	0	44-78 g	27-30 cm	44-49 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Migrating	-	Stable	Least concern (LC)	-
European crested tit	https://martinfrancois.github.io/bird-images/crested-tit-aosta-valley-italy.jpg	The European crested tit, or simply crested tit (Lophophanes cristatus ) (formerly Parus cristatus ), is a passerine bird in the tit family Paridae. It is a widespread and common resident breeder in coniferous forests throughout central and northern Europe and in deciduous woodland in France and the Iberian peninsula. In Great Britain, it is chiefly restricted to the ancient pinewoods of Inverness and Strathspey in Scotland, and seldom strays far from its haunts. A few vagrant crested tits have been seen in England. It is resident, and most individuals do not migrate.	Unknown	0	0	-	-	-	Europe, Asia	-	-	-	Decreasing	Least concern (LC)	-
European golden plover	https://martinfrancois.github.io/bird-images/2560px-pluvialis-apricaria0428js29.jpg	The European golden plover (Pluvialis apricaria ), also known as the European golden-plover, Eurasian golden plover, or just the golden plover within Europe, is a largish plover. This species is similar to two other golden plovers: the American golden plover, Pluvialis dominica, and Pacific golden plover, Pluvialis fulva, which are both smaller, slimmer and relatively longer-legged than European golden plover, and both have grey rather than white axillary feathers (only properly visible in flight).	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
European Goldfinch	https://martinfrancois.github.io/bird-images/jilguero-europeo-carduelis-carduelis.jpg	The European goldfinch (Carduelis carduelis) is a small passerine bird that is native to Europe, North Africa and western and central Asia. It has been introduced to other areas, including Australia, New Zealand and Uruguay. The goldfinch is often depicted in Italian Renaissance paintings of the Madonna and Child.	101-155 mln	10	0	14-19 g	12-13 cm	21-25 cm	North America, Europe, Asia, Africa	Herbivore,  Granivore	Partial Migrant	20-27 days	Decreasing	Least concern (LC)	-
European Green Woodpecker	https://martinfrancois.github.io/bird-images/2560px-groene-specht.jpg	The European green woodpecker (Picus viridis ) is a large green woodpecker with a bright red crown and a black moustache. Males have a red centre to the moustache stripe which is absent in females. It is resident across much of Europe and the western Palearctic but in Spain and Portugal it is replaced by the similar Iberian green woodpecker (Picus sharpei ).	1.2-2.2 mln	15	0	138-250 g	30-36 cm	45-51 cm	Europe, Asia	Carnivore,  Insectivores	Not a migrant	-	Increasing	Least concern (LC)	19-20 days
European Herring Gull	https://martinfrancois.github.io/bird-images/1200px-herring-gull-in-flightjpg.jpg	The European herring gull (Larus argentatus ) is a large gull, up to 66�cm (26�in) long. One of the best-known of all gulls along the shores of Western Europe, it was once abundant. It breeds across Northern Europe, Western Europe, Central Europe, Eastern Europe, Scandinavia, and the Baltic states. Some European herring gulls, especially those resident in colder areas, migrate further south in winter, but many are permanent residents, e.g. in Ireland, Britain, Iceland, or on the North Sea shores. They have a varied diet, including fish, crustaceans, as well as some plants, and are also scavengers, consuming carrion and food left by or stolen from humans.	2-2.4 mln	49	0	710-1,525 g	55-67 cm	125-155 cm	Europe, North America, Asia	Omnivore,  Scavenger,  Carnivore,  Molluscivore,  Piscivores	Migrating	6 months	Decreasing	Least concern (LC)	-
European Honey Buzzard	https://martinfrancois.github.io/bird-images/aa-bondre-apivore-pernis-apivorus-dsc-1473-51408416105jpg.jpg	The European honey buzzard (Pernis apivorus ), also known as the pern or common pern, is a bird of prey in the family Accipitridae.	290-430 thou	25	0	440-1000 g	52-60 cm	135-150-cm	Europe, Asia, Africa	Carnivore,  Insectivores	Migrating	55 days	Stable	Least concern (LC)	30-35 days
European nightjar	https://martinfrancois.github.io/bird-images/1280px-caprimulgus-europaeus-italianwildlife.jpg	The European nightjar (Caprimulgus europaeus ), common goatsucker, Eurasian nightjar or just nightjar, is a crepuscular and nocturnal bird in the nightjar family that breeds across most of Europe and the Palearctic to Mongolia and Northwestern China. The Latin generic name refers to the old myth that the nocturnal nightjar suckled from goats, causing them to cease to give milk. The six subspecies differ clinally, the birds becoming smaller and paler towards the east of the range. All populations are migratory, wintering in sub-Saharan Africa. Their densely patterned grey and brown plumage makes individuals difficult to see in the daytime when they rest on the ground or perch motionless along a branch, although the male shows white patches in the wings and tail as he flies at night.	Unknown	0	0	41-101 g	26-28 cm	57-64 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Migrating	-	Decreasing	Least concern (LC)	-
European pied flycatcher	https://martinfrancois.github.io/bird-images/20170708-03-wendisch-rietz-trauerschnaepper-weibchen.jpg	The European pied flycatcher (Ficedula hypoleuca ) is a small passerine bird in the Old World flycatcher family. One of the four species of Western Palearctic black-and-white flycatchers, it hybridizes to a limited extent with the collared flycatcher. It breeds in most of Europe and across the Western Palearctic. It is migratory, wintering mainly in tropical Africa. It usually builds its nests in holes on oak trees.This species practices polygyny, usually bigamy, with the male travelling large distances to acquire a second mate. The male will mate with the secondary female and then return to the primary female in order to help with aspects of child rearing, such as feeding.	Unknown	11	0	13 g	13 cm	22 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Migrating	-	Decreasing	Least concern (LC)	-
